Cliente,n. ordine cliente,n. ordine ns,data inserimento ordine,n. ordine interno,cod articolo,descrizione,quantità,data di consegna,nr. fusi,N° MC,n° levate,gg per produrre,data arrivo materia prima,Completamento ordine,prodotto kg,consegnato kg,giacenza prodotto finito,note,Evaso
SANYLEG,163,,03/06/2024,188,33002DN,"Ly330/22f7 dc tpm 1200 st. 4,8 (EI)","414,0",,256,1,"1,99","11,27",,26/11/2024,"4,59","99,40",,,Falso
ATHENA,250624,19078,26/06/2024,208,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","660,0",15/07/2024,256,1,"3,09","14,95",,30/11/2024,0,,"0,0",,Falso
W.ZIMMERMANN,10419,19240,04/10/2024,,4465SN1,"Ro44/16f10 S tpm 1250 st. 2,9 (CL)","300,0",27/11/2024,264,,,,,,,,"0,0",,Falso
FISHER & PAYKEL,,,02/09/2024,255,S19-60064V3DN,"Mu600/78f34 dc  tpm 700 dc st. 4,5 (EF)","360,0",,256,1,"4,03","3,19",,18/11/2024,"596,43",,,"Muriel e nylon ci sono, ma aspettare inizio ottobre prima di mettere in produzione",Falso
SCORTA,,,12/09/2024,264,1730S+ZN mini,"K17/11f16 S+Z tpm 2150 st.2,8 (CI)","176,0",,256,1,"1,99","27,16",,12/12/2024,"0,81",,,usare mobilon K17 usato per non rovinarlo,Falso
SCORTA,,,12/09/2024,265,1724S+ZN 2cicli,"K17/10f2 S+Z tpm 2100 st. 2,6 (CG)","236,0",,256,1,"2,01","39,33",,24/12/2024,"206,96",,,,Falso
CALZIFICIO GENNY,,,07/10/2024,293,X24-4403V2DN,"Ly 44-11f5 dc tpm 1900 st. 3,5 (DF)","90,0",20/11/2024,256,1,"0,96","13,39",,28/11/2024,"0,84",,"0,0",,Falso
APPLE,,19245,07/10/2024,294,,,"26,0",,,,,,,,,,,,Falso
DIAMANT,40098,19253,09/10/2024,297,39502DN-14446,"Ly395/167f96 dc tpm 800 st. 4,15 (EBF)","165,0",15/10/2024,206,1,"0,99","1,53",,17/11/2024,"20,84",,"0,0",kg 160 col.14446 e kg 5 col.15081,Falso
FALKE,2058537,19260,14/10/2024,301,ManilaS+ZN1,"K22/11f5 S+Z tpm 2500 st. 2,6 (CG)","240,0",04/11/2024,256,1,"1,9","43,48",,28/12/2024,"0,69",,"0,0",,Falso
RADICI,29547,19264,15/10/2024,303,X23-7899ZN,"Cr 78/44f34 Z tpm 600 st.3,2 (DC)","4.000,0",30/11/2024,,1,,,,,,"229,80",,att.ne FARE V2,Falso
SANYLEG,337,19265,15/10/2024,,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)","540,0",04/11/2024,,,,,,,,"369,0","220,0",,Falso
FGP,3500,19219,15/10/2024,302,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8","1.610,0",04/11/2024,256,1,"7,26","28,43",,13/12/2024,"7,08","707,90",,,Falso
MANIFATTURA ITALIA CUCIRINI,1124,19269,18/10/2024,307,X23-2279ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)","1.050,0",25/10/2024,256,1,"5,88","11,45",,26/11/2024,"11,46",,"0,0","kg 500 per ordine, resto scorta",Falso
MICHELE LETIZIA,177,19271,18/10/2024,308,X24-7802S+ZN,Cr 78-44f72 S+Z tpm 900 st. 3.4 (DE),"600,0",04/11/2024,256,1,"4,01","15,72",,01/12/2024,"4,77","435,0","0,0","prod.ne per ordito, servono  502 bob - peso/bob. 600 gr. FARE 2 LEVATE SULLA MC DA 256 POSIZIONI IN MODO DA AVERE 512 bobine MENO EVT ROTTURE. Utilizzeremo PES 44/72 Kg 60 vecchio lotto + 20 Kg di nuo",Falso
SANYLEG,347,19273,22/10/2024,309,2274ZN2,"Cr22/78f24 Z tpm 600 st. 3,4 (DE)","200,0",,256,1,1,"2,82",,18/11/2024,"8,88",,,nero + carta da zucchero,Falso
SANYLEG,346,,,310,X24-2213ZN2,"Cr22/78f70 Z tpm 1000 st.3,2 (DC)","200,0",,256,1,2,"3,86",,19/11/2024,"6,48","162,0",,Fare 1 levata di oltremare con spole da 400 gr (se MC da 264) o 410 gr (se MC da 256) - 2 levata di nero con spole da 380 gr (se MC da 256) o 370 gr (se MC da 264),Falso
FISHER & PAYKEL,149481,19275,23/10/2024,312,X21-39599V7DN0333,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Grey","190,0",01/02/2025,256,1,"0,88","1,47",,16/11/2024,0,,,1 LEVATA SCARSA -FINIRE FILO - Attenzione: usare la Lycra 395 903 C,Falso
APPLE,742471,19215,24/09/2024,263,S180001DN,"Muriel 1800/62f18 dc tpm 700 st. 3,6",,,,,,,,,,,,art.S180002dn100,Falso
CALZIFICIO TREVER,2001238442,19282,25/10/2025,,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)","2.000,0",02/12/2024,,,,,,,,,,,Falso
CALZIFICIO TREVER,2001238442,19283,25/10/2025,,X23-13097V8ZF,"Cr 130/33f20 par Z tpm 900 st. 4,2 (EC)","1.000,0",07/01/2025,,,,,,,,,,,Falso
CALZIFICIO TREVER,2001238442,19284,25/10/2025,,2270SN,"KL22/11f5 S  tpm 1900 st. 2,8 (CI)","1.000,0",02/12/2024,,,,,,,,,,,Falso
CALZIFICIO TREVER,2001238442,19285,25/10/2025,,2270SN,"KL22/11f5 S  tpm 1900 st. 2,8 (CI)","1.000,0",07/01/2025,,,,,,,,,,,Falso
CALZIFICIO TREVER,2001238442,19286,25/10/2025,,2270SN,"KL22/11f5 S  tpm 1900 st. 2,8 (CI)","1.000,0",20/01/2025,,,,,,,,,,,Falso
CALZIFICIO TREVER,2001238442,19287,25/10/2025,,2270ZN,"KL22/11f5 Z  tpm 1900 st. 2,8 (CI)","1.000,0",02/12/2024,,,,,,,,,,,Falso
CALZIFICIO TREVER,2001238442,19290,25/10/2025,,2271DN 20000 mini,"K22/8f5 dc tpm 3000 st. 2,8 CI","1.500,0",07/01/2025,,,,,,,,,,,Falso
CALZIFICIO GENNY,301024,19292,30/10/2024,319,X23-7892DN mini,"Ly 78/13f7 dc tpm 1750 st. 3,8 (DI)","210,0",25/11/2024,264,1,"2,24","20,2",,05/12/2024,0,,,"V2 - VELOCITA'=750/1400, TENSIONE=4 GR, METRI=176,923- Dividere il peso del nylon che arriva su 2 levate (MC da 264 - 528 spole)",Falso
FISHER & PAYKEL,149910,19291,30/10/2024,318,X21-39599V7DN0332,"Ly395/78f34x2 dc tpm 700 st. 4,6 (EG) Blu","190,0",08/01/2025,256,1,"0,88","1,47",,16/11/2024,0,,,1 LEVATA SCARSA -FINIRE FILO - Attenzione: usare la Lycra 395 903 C-  valutare di fare in coda all'ordine interno nr.312 perché la consegna sia di quest'ordine che del 312 è per inizio gennaio 2025.,Falso
CALZIFICIO TREVER,,,06/11/2024,323,X23-13097V11ZF,"Ro 130/33f20 par Z tpm 900 st. 4,3 (ED)","1.960,0",11/11/2024,,,,,,,,,,FARE LA PRIMA LEVATA E POI FERMARSI E ATTENDERE DISP.NI,Falso
CALZIFICIO TREVER,,,06/11/2024,324,,,"90,0",11/11/2024,,,,,,,,,,X24-13097V14,Falso
DUELEGS,,,06/11/2024,322,X23-31095ZN,Cr 310 H300 - 44f12 tpm 600 st. 3,"65,0",11/11/2024,,,,,,,,,,X24-31095ZN1 - finire nylon,Falso
MEDI,97562,19311,07/11/2024,325,S21-100011DN100 A230,"Mu 1000/62f18 dc tpm 800 st. 2,2 (CC)","80,0",07/01/2025,,,,,,,,,,,Falso
