Cliente,n. ordine interno,codarticolo,descrizione,quantità,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
SANYLEG,50,33001DN2,"Ly330/22f10 dc tpm 1500 st. 5,2 (FC)","3.550,0",,41,14/12/2024,03/03/2024,28,,24/06/2024,"3.255,00",Falso
,,,,,,67,12/11/2024,09/05/2024,4,,25/05/2024,"479,5313",
FALKE,67,X24-1301V2S+ZN mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)","900,0",,55,17/12/2024,01/04/2024,5,,10/07/2024,"539,9625",Falso
,,,,,,56,27/12/2024,20/04/2024,4,,09/07/2024,"431,9700",
FALKE,79,X24-1301V2ZN1 mini,"Ly 13/11f8 S+Z tpm 2400 st. 2,9 (CL)","50,0",,C2,,14/03/2024,1,32,03/04/2024,"13,0900",Falso
,,,,,,53,11/12/2024,10/05/2024,1,110,30/05/2024,"44,9969",
DUELEGS,117,X23-4493S+ZF,"Ly 44/22f20 S+Z tpm 1600 st. 3,7","1.270,0",,24,23/11/2024,22/04/2024,7,,24/06/2024,"933,100",Falso
,,,,,,25,,05/05/2024,3,,01/06/2024,"399,900",
FGP,127,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8","3.375,0",,40,,22/05/2024,15,,22/07/2024,"3.327,600",Falso
SCORTA,137,7034ZN,"Cr 78/22f7 Z tpm 1900 st. 4,0 (EA)","1.930,0",,45,03/01/2025,22/04/2024,12,,19/08/2024,"1.999,3884",Falso
DUELEGS,116,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1","2.830,0",,13,21/04/2025,30/04/2024,3,,01/06/2024,"332,8200",Falso
,,,,,,44,27/11/2024,26/04/2024,4,,08/06/2024,"443,7600",
SCORTA,107,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)","560,0",,1,,03/04/2024,3,,26/05/2024,"373,1273",Falso
SCORTA,245,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)","1.120,0",,6,,02/09/2024,5,448,17/09/2024,"980,00",Falso
RADICI,259,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)","5.000,0",,46,,12/09/2024,12,,22/11/2024,"2.690,4960",Falso
,,,,,,53,11/12/2024,12/09/2024,13,,28/11/2024,"3.005,7885",
RADICI,260,2279ZNB10A 13200,Cr22/78f68 Z pink tpm 600 st- 3.2 (DC),"2.926,0",,71,,12/09/2024,14,,28/10/2024,"2.999,3906",Falso
RADICI,261,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","5.200,0",,58,29/11/2024,17/09/2024,12,,17/11/2024,"2.818,2825",Falso
,,,,,,72,29/11/2024,12/09/2024,13,,17/11/2024,"3.053,1394",
SCORTA,272,4407DN,"Ly44/13f7 dc tpm 1750 st. 3,8 (DI)","960,0",,61,29/12/2024,24/09/2024,4,448,14/11/2024,"835,3800",Falso
FOCENZA FACTORY,276,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)","460,0",20/10/2024,52,10/12/2024,01/10/2024,2,,16/10/2024,"472,0485",Falso
FOCENZA FACTORY,277,4424S+ZN/F,"Ly44/44f34 S+Z tpm 1000 st. 3,8 (DI)","912,0",20/11/2024,52,10/12/2024,17/10/2024,4,,17/11/2024,"944,0970",Falso
