N° MC,,,,cod articolo,descrizione,N° fusi reali,velocita fusi inferiori,data ora partenza,data ora fine,data ora fine manuale,ore lavorate dalla partenza,KWh assorbiti,KW medi,produzione [kg],KWh/Kg,€/Kg,note,N° scheda
-,Anno Inizio : 2024,,,,,,,,,,,,,,,,,
,-,Mese Inizio : 4,,,,,,,,,,,,,,,,
,,+,1,2277DN mini,"Ly22/8f5 dc tpm 2100 st. 3,4 (DE)",,20194,11/04/2024 14:20:33,29/04/2024 21:59:49,,"439,4800","5921,3200","13,4735","121,4700","48,7400","10,7200",x la 7°levata vedere se mettere lycra 22 usata sono 112 bobine ,
,,+,2,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",,21112,03/04/2024 13:41:13,17/04/2024 04:36:25,,"326,7800","5583,0200","17,0850","135,8200","41,1100","9,0400",,
,,+,3,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",448,21026,24/04/2024 12:34:52,08/05/2024 07:06:28,,"330,3800","5914,7400","17,9028","137,4900","43,0200","9,4600",,
,,+,4,2011DN mini,"Ly 20/13f10 dc  tpm 2400 st. 3,0 (DA)",,20922,19/04/2024 11:01:44,06/05/2024 19:42:55,,"416,5500","7735,800","18,5711","173,1300","44,6800","9,8300",,
,,+,5,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,21077,26/04/2024 13:48:42,21/05/2024 15:32:12,,"601,6800","9070,200","15,0748","152,7800","59,3700","13,0600","

",23/70404-M8
,,+,6,749DN mini,"Ly20/8f5 dc tpm 3000 st. 2,8 (CI)",,20341,14/04/2024 10:51:49,01/05/2024 14:08:11,,"411,1700","3806,5100","9,2578","54,6900","69,6200","15,3200",,
,,+,7,X22-1703DN minispole,"K 17/8f5 dc tpm 3000 st. 2,8 (CI)	Mobilon 17 tipo K	0,273	8f5 parallelo	290	2 x 27 gg (1299)	1	N				",,21034,17/04/2024 07:58:38,14/05/2024 09:35:02,,"649,5200","11224,1700","17,2807","151,1800","74,2500","16,3300",CHIEDERE SE FARE LA 6° LEVATA PER FINIRE LYCRA 22,24/87002-M4
,,+,8,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20596,10/04/2024 15:32:22,05/05/2024 10:49:26,,"595,2500","9429,300","15,8409","148,4400","63,5200","13,9700",,
,,+,9,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20679,09/04/2024 14:41:06,03/05/2024 22:57:03,,"584,200","8433,1600","14,4354","145,6900","57,8900","12,7300",,
,,+,10,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,21002,18/04/2024 15:25:33,14/05/2024 20:38:09,,"629,200","10772,100","17,1203","156,9100","68,6500","15,100",,24/87802-M6+O7
,,+,11,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",448,21033,30/04/2024 09:41:45,25/05/2024 04:36:23,,"594,8200","9568,3400","16,0861","150,7200","63,4800","13,9700",,23/50105-M8
,,+,12,2271DN 20700 mini,"K22/8f5 dc tpm 3000 st. 2,8 (CI)",,20995,23/04/2024 16:08:21,16/05/2024 17:20:18,,"553,2200","9411,900","17,0129","137,9600","68,2200","15,0100",,23/57805-M6
,,+,13,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",,20217,16/04/2024 08:46:18,29/04/2024 03:36:25,,"306,5500","4046,5700","13,2004","131,0500","30,8800","6,7900","NO NODI SOST TUB ALLA ROTTURA
",
,,+,13,X23-3399S+ZF,"Ly 33/13f7 S+Z tpm 1750 st. 3,1",,20218,30/04/2024 12:32:57,13/05/2024 08:16:21,,"307,5800","4027,0400","13,0927","125,6500","32,0500","7,0500","NO NODI SOST TUB ALLA ROTTURA
",
,,+,14,2270s+z rpm 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19876,09/04/2024 16:13:10,26/04/2024 04:33:10,,"396,2200","4627,9800","11,6803",,,,2270s+z rpm 19800,
,,+,15,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19902,13/04/2024 12:31:54,29/04/2024 00:24:26,,"371,7700","4436,3500","11,9331","120,0800","36,9400","8,1300",,
,,+,16,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",256,19803,11/04/2024 10:04:04,28/04/2024 00:39:33,,"398,4800","4571,8100","11,4731","128,7300","35,5200","7,8100",FERMATA A TEMPO 404H                              PROVA CONSUMI                                            PARTIRE CON SPOLE FADIS3,
,,+,17,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19795,15/04/2024 10:43:58,30/04/2024 16:55:28,,"365,8700","5049,9400","13,8026","118,1900","42,7300","9,400",,
,,+,18,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",,11324,15/04/2024 11:31:34,17/04/2024 10:36:21,19/04/2024 16:30:00,"47,00","441,0800","9,3847","170,5600","2,5900","0,5700",X TINORIA ''ordito'' FERMATA TASSATIVA,
,,+,18,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",,11363,17/04/2024 14:18:08,19/04/2024 13:41:43,19/04/2024 16:15:00,"47,2200","446,0100","9,4454","171,3500","2,600","0,5700",X TINORIA ''ordito'' FERMATA TASSATIVA VA 2GG + 2H      3° LEVATA RESIDUO DI 45 SPOLE.''fermare piano superiore caricare spole solo inferiore'',
,,+,18,X23-2299V5ZF,"Ro 22/78f24 Z tpm 400 st. 3,5 (DF)",,11406,19/04/2024 15:59:04,21/04/2024 16:19:51,,"48,3200","194,1200","4,0174",,,,X23-2299V5zf,
,,+,18,7032S+ZN,"Ro 78/11f7 S+Z tpm 1800 st. 3,7 (DH)",,20180,24/04/2024 10:06:22,10/05/2024 11:27:44,,"385,2300","5738,3200","14,8958","201,2800","28,5100","6,2700",,
,,+,19,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19786,02/04/2024 15:35:16,19/04/2024 04:42:38,,"397,0700","4764,7500","11,9998","128,2500","37,1500","8,1700",,
,,+,19,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19795,27/04/2024 13:13:17,14/05/2024 12:24:23,,"407,1300","4770,8200","11,7182","131,500","36,2800","7,9800",,24/92101-F3
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19800,06/04/2024 09:02:00,22/04/2024 00:44:20,,"375,6300","4629,8300","12,3255","121,3300","38,1600","8,400",,
,,+,20,2270S+ZN 19800,"KL22/11f5 S+Z  tpm 1900 st. 2,8 (CI)",,19808,23/04/2024 12:32:30,10/05/2024 13:54:15,,"409,3300","4961,1800","12,1202","132,2100","37,5200","8,2500",,
,,+,21,2270s+z rpm 21000,,,21129,18/04/2024 11:01:32,02/05/2024 23:12:44,,"348,1200","4616,5800","13,2615",,,,2270s+z rpm 21000,
,,+,22,2250S+ZN,"KL22/11f5 S+Z tpm 1400 st. 2,75 (CHF)",,18457,06/04/2024 11:32:02,18/04/2024 21:13:21,,"297,5500","3264,5100","10,9713","113,0700","28,8800","6,3500",MOB.KL22 DELLA MC 60 VA 1 CICLO,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19236,02/04/2024 12:48:09,05/04/2024 10:58:06,,"70,1800","1043,8700","14,8742","107,2500","9,7300","2,1400",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19315,05/04/2024 11:08:37,08/04/2024 09:27:19,,"70,1800","811,600","11,5645","106,6800","7,6100","1,6700",,
,,+,23,31002DN1,"Cr310/22f7 DC tpm 1200 st. 3,8  (DI)",,19275,09/04/2024 08:54:01,12/04/2024 09:26:45,,"72,5500","997,2300","13,7454","110,8700","8,9900","1,9800",,
