Cliente,n. ordine cliente,n. ordine ns,data inserimento ordine,n. ordine interno,cod articolo,descrizione,quantità,data di consegna,nr. fusi,N° MC,n° levate,gg per produrre,data arrivo materia prima,Completamento ordine,prodotto kg,consegnato kg,giacenza prodotto finito,note,Evaso
ATHENA,,10,30/05/2023,190,4463S+ZN1,"Cr44/44f34 colorwise S+Z tpm 650 st. 3,2 (DC)","850,0",31/08/2023,256,1,"3,98","19,25",,18/10/2024,"763,51","1.124,0","0,0",,Vero
MICHELE LETIZIA,230094,18150,24/02/2023,105,X22-7806S+ZN,"Ly 78/44f72 Z tpm 900 st. 4,0 (EA)","550,0",20/03/2023,264,1,"3,61","13,98",,13/10/2024,"497,34","554,0",,,Vero
RADICI,2003483,18155,27/02/2023,71,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","2.200,0",15/05/2023,264,1,"9,37","46,06",,14/11/2024,"2757,27","2.358,60",,,Vero
RADICI,2003483,18155,27/02/2023,72,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","8.500,0",30/06/2023,264,2,"18,1","88,97",,27/12/2024,"8758,16","8.780,90",,,Vero
RADICI,2003483,18155,27/02/2023,73,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)","3.000,0",15/05/2023,256,2,"6,69","38,58",,07/11/2024,"4296,48","3.325,0",,,Vero
TAT TESSITURA AUTOMATICA TAVERNERIO,10323,18171,01/03/2023,114,4406ZN,"Ly44/78f34 Z tpm 600 st. 3,5 (DF)","230,0",,256,1,"0,92","3,62",,03/10/2024,"130,69","264,0",,,Vero
FGP,544,18181,,120,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8","1.000,0",05/07/2023,264,1,"4,37","17,12",,16/10/2024,"702,83",,,,Vero
CALZIFICIO ARGOPI,45,18182,10/03/2023,121,X17-20099ZN,"Ly200/33f20 Z tpm 900 st. 4,2 (EC)","100,0",13/06/2023,264,1,"0,39","1,55",,01/10/2024,"226,56","113,0",,,Vero
SINERGY GROUP,144,18184,13/03/2023,122,10996SN,"Cr44/22f7 S tpm 650 st. 3,5 (DF)","750,0",15/06/2023,264,1,"5,07","20,07",18/04/2023,11/05/2023,"773,56","809,0",,,Vero
TRERE' INNOVATION,442,18124,15/02/2023,132,20098DN,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)","25,0",,,,,,,,,"27,0",,,Vero
