Cliente,n. ordine interno,codarticolo,descrizione,quantità,data di consegna,Mc No.,data fermata prevista,data inserimento produzione,n. levate,nr fusi effettivi,fine produzione,kg prodotti,evaso
MICHELE LETIZIA,105,X22-7806S+ZN,"Ly 78/44f72 Z tpm 900 st. 4,0 (EA)","550,0",20/03/2023,60,,16/03/2023,4,,01/04/2023,"609,9638",Vero
RADICI,71,2275S+ZN-N00,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","2.200,0",15/05/2023,,,,,,,,Vero
,,,,,,71,06/11/2024,08/03/2023,13,,13/05/2023,"3.053,1394",
RADICI,72,2275S+ZN-B10A,"Cr22/44f34 S+Z tpm 600 st. 3,2 (DC)","8.500,0",30/06/2023,55,27/09/2024,15/03/2023,21,,29/06/2023,"4.931,9944",Vero
,,,,,,52,01/10/2024,04/03/2023,20,,13/06/2023,"4.697,1375",
RADICI,73,2276S+ZN,"Cr22/44f30 S+Z tpm 650 st. 3,2 (DC)","2.000,0",15/05/2023,46,,01/03/2023,14,,23/05/2023,"3.138,9120",Vero
,,,,,,60,,14/06/2023,5,,13/07/2023,"1.156,0725",
TAT TESSITURA AUTOMATICA TAVERNERIO,114,4406ZN,"Ly44/78f34 Z tpm 600 st. 3,5 (DF)","230,0",,60,,11/03/2023,1,,15/03/2023,"256,8844",Vero
FGP,120,31003DN220274,"Ly310/78f68 dc tpm 1200 st. 3,8","1.000,0",05/07/2023,37,01/10/2024,18/04/2023,7,,16/05/2023,"1.552,8800",Vero
CALZIFICIO ARGOPI,121,X17-20099ZN,"Ly200/33f20 Z tpm 900 st. 4,2 (EC)","100,0",13/06/2023,23,,14/03/2023,1,,18/03/2023,"247,9500",Vero
SINERGY GROUP,122,10996SN,"Cr44/22f7 S tpm 650 st. 3,5 (DF)","750,0",15/06/2023,72,21/11/2024,17/04/2023,6,,11/05/2023,"887,5969",Vero
TRERE' INNOVATION,132,20098DN,"Ly200/44f13x2 DC tpm 1000 st. 4,2 (EC)","25,0",,,,,,,,,Vero
TRERE' INNOVATION,133,X20-20015DN,"Ly200/78f18  dc tpm 1000 st. 4,2 (EC)","55,0",,,,,,,,,Vero
FRITSCHE,136,S14-60003V2DN 23h,"Mu600/70/1 Nomex DC tpm 1100 st. 4,4 (EE)","1.500,0",11/04/2023,37,01/10/2024,03/05/2023,12,,16/05/2023,"756,2400",Vero
CALZIFICIO POLAR,119,1726S+ZN,"Ly17/40f40 S+Z tpm 600 st. 3,2 (DC)","600,0",25/04/2023,54,,25/03/2023,10,,03/06/2023,"2.576,4998",Vero
