Cliente,cod articolo,mean,std,mean_differenza_giorni
ALLERGO SYSTEM,4462ZN2,70.16666666666667,28.50555501418393,20.0
ALPIN CORAP,23505DN1,7.5,3.5355339059327378,26.0
ALPIN CORAP,23505DN2,35.0,21.213203435596427,26.0
AMBROFIBRE,X21-4480S+ZN,160.0,0.0,26.0
AMBROFIBRE,X23-2280S+ZN,506.6666666666667,440.0378771575617,26.0
AMBROFIBRE,X23-2282S+ZN,260.0,0.0,26.0
AMBROFIBRE,X24-2201S+ZN,440.0,0.0,26.0
APPLE,S15-60008V3DN2,100.0,0.0,26.0
APPLE,S18-60042V2DN,130.0,0.0,26.0
APPLE,S18-60042V4DN,26.0,0.0,26.0
APPLE,S600A16ZN100,130.0,0.0,26.0
ATHENA,4457ZN2,180.0,0.0,26.0
ATHENA,4463S+ZN1,557.8571428571429,232.5915078497268,41.0
ATHENA,X21-4489V3S+ZN,590.0,0.0,26.0
ATHENA,X22-7810S-ZN354,250.0,0.0,26.0
ATHENA,X22-7810S-ZN354 4 ci,240.0,0.0,26.0
AUSSCO,S15-60008V3DN2,5.0,0.0,15.0
AUSSCO,S15-60008V3DNcolorat,10.0,0.0,13.0
BBF GAMBETTI,13007ZF 903C 14000,190.0,14.142135623730951,26.0
BBF GAMBETTI,2011DN,1595.4545454545455,2052.8583177431588,59.0
BBF GAMBETTI,2013S+ZN,122.5,63.63961030678928,25.0
BBF GAMBETTI,2013S+ZN mini,200.0,0.0,26.0
BBF GAMBETTI,4407DN,120.0,0.0,30.0
BBF GAMBETTI,X21-4481DN,120.0,0.0,26.0
BORN,S18-160040DN,5.0,0.0,26.0
BRAM,1730S+ZN,165.0,0.0,26.0
BRUNO CHIARUTTINI SRL,S18-160040DN,3.0,1.4142135623730951,26.0
BUCAN D.O.O.,S18-160040DN,12.0,0.0,26.0
CALZE LUISA,1283S+ZN,40.0,0.0,1.0
CALZE LUISA,1725DN,40.0,0.0,26.0
CALZE LUISA,2221ZN,70.0,70.71067811865476,26.0
CALZE LUISA,2246ZN 10800,60.0,0.0,26.0
CALZE LUISA,2246ZN 13500,600.0,0.0,26.0
CALZE LUISA,4426ZN2,90.0,0.0,26.0
CALZE OLONA,1301ZN,230.0,0.0,26.0
CALZE OLONA,4449S+ZN,130.0,0.0,18.0
CALZE OLONA,7010ZF,150.0,0.0,13.0
CALZIFICIO ARGOPI,2250S+ZN,480.0,0.0,26.0
CALZIFICIO ARGOPI,2256ZN,130.0,70.71067811865476,26.0
CALZIFICIO ARGOPI,2278ZN1,200.0,0.0,3.0
CALZIFICIO ARGOPI,4407DN,255.0,120.20815280171308,13.0
CALZIFICIO ARGOPI,X17-20099ZN,100.0,0.0,95.0
CALZIFICIO ATHENA,4463S+ZN1,420.0,0.0,30.0
CALZIFICIO ATHENA,X22-7810S-ZN354,150.0,0.0,8.0
