cliente,cod_articolo,quantity,data inserimento,data consegna
SANYLEG,33001DN2,696.0,2024-11-25,2025-11-25
SCORTA,2277DN mini,284.0,2024-11-25,2025-11-25
DUELEGS,X23-3399S+ZF,1878.57,2024-11-25,2025-01-04
SCORTA,7034ZN,830.0,2024-11-25,2025-11-25
INTERNAL,13007ZF 903C 14000,546.0,2024-11-25,2025-11-25
INTERNAL,X23-4489DN,1164.0,2024-11-25,2025-11-25
SCORTA,31002DN1,112.0,2024-11-25,2025-01-04
RADICI,2276S+ZN,924.0,2024-11-25,2025-11-25
RADICI,2275S+ZN-B10A 11400,454.0,2024-11-25,2025-11-25
INTERNAL,1724S+ZN 2cicli,242.0,2024-11-25,2025-11-25
SCORTA,4407DN,124.62,2024-11-25,2025-01-04
SCORTA,4407DN,699.38,2024-11-25,2025-11-25
SANYLEG,X23-47097DN366,720.0,2024-11-25,2025-11-25
SANYLEG,X23-4491DF366,212.0,2024-11-25,2025-11-25
INTERNAL,S21-60083V3DN1,360.0,2024-11-25,2025-11-25
RADICI,2279ZNB10A 11000,416.0,2024-11-25,2025-11-25
FOCENZA FACTORY,4424ZN/F,465.0,2024-11-25,2025-11-25
DUELEGS,X23-4493S+ZF,1463.0,2024-11-25,2025-11-25
MAXIS,7035DN1,270.58,2024-11-25,2025-01-04
MAXIS,7035DN1,373.41,2024-11-25,2025-11-25
INTERNAL,2011DN mini,3140.0,2024-11-25,2025-11-25
INTERNAL,2271DN 20700 mini,9632.92,2024-11-25,2025-11-25
INTERNAL,2271DN 20000 mini,7931.38,2024-11-25,2025-11-25
INTERNAL,2270S+ZN 19800,9863.0,2024-11-25,2025-11-25
INTERNAL,X23-13097V8ZF,537.0,2024-11-25,2025-11-25
INTERNAL,2270S+ZN mini 19800,274.0,2024-11-25,2025-11-25
INTERNAL,2270S+ZN mini 19800,9675.51,2024-11-25,2025-11-25
