cod articolo,differenza,data partenza,data fine
10353ZF,4.0,2021-01-14,2021-01-18 00:00:00.000000000
10353ZF,4.0,2021-06-28,2021-07-02 00:00:00.000000000
10353ZF,4.0,2021-10-09,2021-10-13 00:00:00.000000000
10353ZF,4.0,2021-10-17,2021-10-21 00:00:00.000000000
10353ZF,4.0,2021-06-24,2021-06-28 00:00:00.000000000
10353ZF,4.0,2021-02-13,2021-02-17 00:00:00.000000000
10353ZF,4.0,2021-08-08,2021-08-12 00:00:00.000000000
10353ZF,4.0,2021-01-30,2021-02-03 00:00:00.000000000
10353ZF,4.0,2021-05-04,2021-05-08 00:00:00.000000000
10353ZF,4.0,2021-12-26,2021-12-30 00:00:00.000000000
10353ZF,4.0,2021-11-15,2021-11-19 00:00:00.000000000
10353ZF,4.0,2021-07-14,2021-07-18 00:00:00.000000000
10353ZF,4.0,2021-01-10,2021-01-14 00:00:00.000000000
10353ZF,4.0,2021-08-11,2021-08-15 00:00:00.000000000
10353ZF,4.0,2021-02-24,2021-02-28 00:00:00.000000000
10353ZF,4.0,2021-12-31,2022-01-04 00:00:00.000000000
10353ZF,4.0,2021-02-27,2021-03-03 00:00:00.000000000
10353ZF,4.0,2021-07-14,2021-07-18 00:00:00.000000000
10353ZF,4.0,2021-11-02,2021-11-06 00:00:00.000000000
10353ZF,4.0,2021-12-15,2021-12-19 00:00:00.000000000
10353ZF,4.0,2021-12-28,2022-01-01 00:00:00.000000000
10353ZF,4.0,2021-02-23,2021-02-27 00:00:00.000000000
10353ZF,4.0,2021-01-06,2021-01-10 00:00:00.000000000
10353ZF,4.0,2021-04-08,2021-04-12 00:00:00.000000000
10353ZF,4.0,2021-05-17,2021-05-21 00:00:00.000000000
10353ZF,4.0,2021-11-18,2021-11-22 00:00:00.000000000
10353ZF,4.0,2021-02-14,2021-02-18 00:00:00.000000000
10353ZF,4.0,2021-10-11,2021-10-15 00:00:00.000000000
10353ZF,4.0,2021-03-24,2021-03-28 00:00:00.000000000
10353ZF,4.0,2021-06-16,2021-06-20 00:00:00.000000000
10353ZF,4.0,2021-02-18,2021-02-22 00:00:00.000000000
10353ZF,4.0,2021-12-13,2021-12-17 00:00:00.000000000
10353ZF,4.0,2021-04-27,2021-05-01 00:00:00.000000000
10353ZF,4.0,2021-02-05,2021-02-09 00:00:00.000000000
10353ZF,4.0,2021-02-27,2021-03-03 00:00:00.000000000
10353ZF,4.0,2021-10-02,2021-10-06 00:00:00.000000000
10353ZF,4.0,2021-11-22,2021-11-26 00:00:00.000000000
10353ZF,4.0,2021-09-19,2021-09-23 00:00:00.000000000
10353ZF,4.0,2021-12-23,2021-12-27 00:00:00.000000000
10353ZF,4.0,2021-02-19,2021-02-23 00:00:00.000000000
10353ZF,4.0,2021-01-12,2021-01-16 00:00:00.000000000
10353ZF,4.0,2021-01-28,2021-02-01 00:00:00.000000000
10353ZF,4.0,2021-08-29,2021-09-02 00:00:00.000000000
10353ZF,4.0,2021-12-22,2021-12-26 00:00:00.000000000
10353ZF,4.0,2021-05-26,2021-05-30 00:00:00.000000000
10353ZF,4.0,2021-01-25,2021-01-29 00:00:00.000000000
10353ZF,4.0,2021-04-12,2021-04-16 00:00:00.000000000
10353ZF,4.0,2021-08-05,2021-08-09 00:00:00.000000000
10353ZF,4.0,2021-06-03,2021-06-07 00:00:00.000000000
10353ZF,4.0,2021-10-04,2021-10-08 00:00:00.000000000
10353ZF,4.0,2021-07-08,2021-07-12 00:00:00.000000000
10353ZF,4.0,2021-12-13,2021-12-17 00:00:00.000000000
10353ZF,4.0,2021-03-06,2021-03-10 00:00:00.000000000
10353ZF,4.0,2021-01-13,2021-01-17 00:00:00.000000000
10353ZF,4.0,2021-09-25,2021-09-29 00:00:00.000000000
10353ZF,4.0,2021-03-30,2021-04-03 00:00:00.000000000
10353ZF,4.0,2021-05-06,2021-05-10 00:00:00.000000000
10353ZF,4.0,2021-03-09,2021-03-13 00:00:00.000000000
10353ZF,4.0,2021-04-14,2021-04-18 00:00:00.000000000
10353ZF,4.0,2021-07-22,2021-07-26 00:00:00.000000000
10353ZF,4.0,2021-10-26,2021-10-30 00:00:00.000000000
10353ZF,4.0,2021-11-06,2021-11-10 00:00:00.000000000
10353ZF,4.0,2021-10-26,2021-10-30 00:00:00.000000000
10353ZF,4.0,2021-12-11,2021-12-15 00:00:00.000000000
10353ZF,4.0,2021-01-05,2021-01-09 00:00:00.000000000
10353ZF,4.0,2021-11-18,2021-11-22 00:00:00.000000000
10353ZF,4.0,2021-06-11,2021-06-15 00:00:00.000000000
10353ZF,4.0,2021-11-29,2021-12-03 00:00:00.000000000
10353ZF,4.0,2021-09-24,2021-09-28 00:00:00.000000000
10353ZF,4.0,2021-08-21,2021-08-25 00:00:00.000000000
10353ZF,4.0,2021-10-27,2021-10-31 00:00:00.000000000
10353ZF,4.0,2021-02-04,2021-02-08 00:00:00.000000000
10353ZF,4.0,2021-04-23,2021-04-27 00:00:00.000000000
10353ZF,4.0,2021-04-10,2021-04-14 00:00:00.000000000
10353ZF,4.0,2021-03-19,2021-03-23 00:00:00.000000000
10353ZF,4.0,2021-10-24,2021-10-28 00:00:00.000000000
10353ZF,4.0,2021-10-22,2021-10-26 00:00:00.000000000
10353ZF,4.0,2021-06-02,2021-06-06 00:00:00.000000000
10353ZF,4.0,2021-09-16,2021-09-20 00:00:00.000000000
10353ZF,4.0,2021-05-13,2021-05-17 00:00:00.000000000
10353ZF,4.0,2021-08-02,2021-08-06 00:00:00.000000000
10353ZF,4.0,2021-09-14,2021-09-18 00:00:00.000000000
10353ZF,4.0,2021-03-19,2021-03-23 00:00:00.000000000
10353ZF,4.0,2021-03-28,2021-04-01 00:00:00.000000000
10353ZF,4.0,2021-04-12,2021-04-16 00:00:00.000000000
10353ZF,4.0,2021-03-08,2021-03-12 00:00:00.000000000
10353ZF,4.0,2021-11-28,2021-12-02 00:00:00.000000000
10353ZF,4.0,2021-04-06,2021-04-10 00:00:00.000000000
10353ZF,4.0,2021-02-12,2021-02-16 00:00:00.000000000
10353ZF,4.0,2021-01-20,2021-01-24 00:00:00.000000000
10353ZF,4.0,2021-11-24,2021-11-28 00:00:00.000000000
10353ZF,4.0,2021-01-16,2021-01-20 00:00:00.000000000
10353ZF,4.0,2021-07-14,2021-07-18 00:00:00.000000000
10353ZF,4.0,2021-03-11,2021-03-15 00:00:00.000000000
10353ZF,4.0,2021-01-18,2021-01-22 00:00:00.000000000
10353ZF,4.0,2021-01-28,2021-02-01 00:00:00.000000000
10353ZF,4.0,2021-07-15,2021-07-19 00:00:00.000000000
10353ZF,4.0,2021-09-07,2021-09-11 00:00:00.000000000
10353ZF,4.0,2021-12-15,2021-12-19 00:00:00.000000000
10353ZF,4.0,2021-12-09,2021-12-13 00:00:00.000000000
13005ZF-14000,4.984555515169551,2021-08-08,2021-08-12 23:37:45.596510653
13005ZF-14000,6.5347969857657,2021-03-02,2021-03-08 12:50:06.459570156
13005ZF-14000,6.371911463165049,2021-04-19,2021-04-25 08:55:33.150417456
13005ZF-14000,6.806176331453065,2021-07-02,2021-07-08 19:20:53.635037547
13005ZF-14000,4.1476174990494945,2021-11-14,2021-11-18 03:32:34.151917876
13005ZF-14000,3.4775876544618534,2021-12-27,2021-12-30 11:27:43.573345508
13005ZF-14000,6.328849073563005,2021-02-18,2021-02-24 07:53:32.559955843
13005ZF-14000,4.713686085434241,2021-06-22,2021-06-26 17:07:42.477781514
13005ZF-14000,5.6837299227281015,2021-01-28,2021-02-02 16:24:34.265323707
13005ZF-14000,4.236227246944748,2021-10-19,2021-10-23 05:40:10.034136022
13005ZF-14000,4.256330276763332,2021-02-18,2021-02-22 06:09:06.935912349
13005ZF-14000,5.131268080844931,2021-05-26,2021-05-31 03:09:01.562184999
13005ZF-14000,7.243416514107573,2021-08-29,2021-09-05 05:50:31.186818896
13005ZF-14000,4.649160571680074,2021-04-20,2021-04-24 15:34:47.473393160
13005ZF-14000,5.12395184881987,2021-07-14,2021-07-19 02:58:29.439738039
13005ZF-14000,4.879183476169493,2021-06-03,2021-06-07 21:06:01.452341044
13005ZF-14000,6.078656626561676,2021-10-14,2021-10-20 01:53:15.932534930
13005ZF-14000,5.73794038738221,2021-03-06,2021-03-11 17:42:38.049469822
13005ZF-14000,5.1478021207408835,2021-04-19,2021-04-24 03:32:50.103232013
13005ZF-14000,5.500925543270271,2021-10-04,2021-10-09 12:01:19.966938553
13005ZF-14000,5.567888568554802,2021-02-14,2021-02-19 13:37:45.572323134
13005ZF-14000,6.839314319633178,2021-04-21,2021-04-27 20:08:36.757216308
13005ZF-14000,6.651563029224005,2021-08-14,2021-08-20 15:38:15.045724953
13005ZF-14000,4.778963730961432,2021-02-28,2021-03-04 18:41:42.466355064
13005ZF-14000,4.238184735679585,2021-07-25,2021-07-29 05:42:59.161162717
13005ZF-14000,5.868030652307293,2021-01-20,2021-01-25 20:49:57.848359350
13005ZF-14000,5.173301892189937,2021-01-14,2021-01-19 04:09:33.283485207
13005ZF-14000,6.072690930381961,2021-10-29,2021-11-04 01:44:40.496385004
13005ZF-14000,7.135415256428978,2021-04-11,2021-04-18 03:14:59.878155465
13005ZF-14000,5.987885198766941,2021-02-09,2021-02-14 23:42:33.281173460
13005ZF-14000,3.9622189686547182,2021-02-01,2021-02-04 23:05:35.718891766
13005ZF-14000,7.9509529251715625,2021-04-05,2021-04-12 22:49:22.332734826
13005ZF-14000,5.5974697570671275,2021-05-16,2021-05-21 14:20:21.387010597
13005ZF-14000,6.082227957170825,2021-12-22,2021-12-28 01:58:24.495499557
13005ZF-14000,5.270221901273334,2021-06-29,2021-07-04 06:29:07.172270013
13005ZF-14000,5.6039230015383925,2021-03-22,2021-03-27 14:29:38.947332917
13005ZF-14000,7.607645090563719,2021-12-16,2021-12-23 14:35:00.535824703
13005ZF-14000,3.3450063252348254,2021-03-28,2021-03-31 08:16:48.546500286
13005ZF-14000,4.156000535030434,2021-01-09,2021-01-13 03:44:38.446226626
13005ZF-14000,6.954784966627002,2021-08-19,2021-08-25 22:54:53.421116572
13005ZF-14000,3.874358898987363,2021-05-06,2021-05-09 20:59:04.608872511
13005ZF-14000,4.708160441387439,2021-06-06,2021-06-10 16:59:45.062135871
13005ZF-14000,6.566343648905444,2021-10-24,2021-10-30 13:35:32.091265426
13005ZF-14000,2.3368335442542687,2021-07-03,2021-07-05 08:05:02.418223571
13005ZF-14000,4.181552344173661,2021-12-28,2022-01-01 04:21:26.122536607
13005ZF-14000,7.642603841817572,2021-08-17,2021-08-24 15:25:20.971933040
13005ZF-14000,5.420029551011183,2021-04-16,2021-04-21 10:04:50.553207367
13005ZF-14000,6.147664232476888,2021-02-25,2021-03-03 03:32:38.189686004
13005ZF-14000,6.6564891803097535,2021-06-26,2021-07-02 15:45:20.665178766
13005ZF-14000,5.953285179120351,2021-09-26,2021-10-01 22:52:43.839476002
13005ZF-14000,4.4948719279437945,2021-05-22,2021-05-26 11:52:36.934574344
13005ZF-14000,6.0693372324507795,2021-09-29,2021-10-05 01:39:50.736883749
13005ZF-14000,6.623620584419339,2021-03-06,2021-03-12 14:58:00.818493827
13005ZF-14000,4.551057957672643,2021-10-29,2021-11-02 13:13:31.407542912
13005ZF-14000,4.0745844010162475,2021-07-27,2021-07-31 01:47:24.092247799
13005ZF-14000,4.785682033586662,2021-04-09,2021-04-13 18:51:22.927701890
13005ZF-14000,5.287629170326524,2021-06-17,2021-06-22 06:54:11.160316209
13005ZF-14000,5.604566557196829,2021-01-04,2021-01-09 14:30:34.550541803
13005ZF-14000,6.30491456493372,2021-07-02,2021-07-08 07:19:04.618410271
13005ZF-14000,3.2506508807231294,2021-06-26,2021-06-29 06:00:56.236094475
13005ZF-14000,4.193544178588875,2021-10-08,2021-10-12 04:38:42.217030080
13005ZF-14000,3.087354445179842,2021-09-24,2021-09-27 02:05:47.424063534
13005ZF-14000,4.038722299123761,2021-11-10,2021-11-14 00:55:45.606644296
13005ZF-14000,6.596627980867846,2021-04-07,2021-04-13 14:19:08.657546977
13005ZF-14000,4.410562638645509,2021-01-29,2021-02-02 09:51:12.611978971
13005ZF-14000,5.618272191604689,2021-09-07,2021-09-12 14:50:18.717354646
13005ZF-14000,5.5385794370156844,2021-03-22,2021-03-27 12:55:33.263358156
13005ZF-14000,3.8941323938708514,2021-08-04,2021-08-07 21:27:33.038830445
13005ZF-14000,4.444297979159108,2021-04-18,2021-04-22 10:39:47.345399346
13005ZF-14000,7.027016161535351,2021-03-11,2021-03-18 00:38:54.196356658
13005ZF-14000,6.852637748652844,2021-02-05,2021-02-11 20:27:47.901483601
13005ZF-14000,6.017759661752123,2021-04-05,2021-04-11 00:25:34.434775381
13005ZF-14000,4.936286599904796,2021-11-04,2021-11-08 22:28:15.162231774
13005ZF-14000,4.958748499022972,2021-03-11,2021-03-15 23:00:35.870315587
13005ZF-14000,5.241781950083263,2021-02-28,2021-03-05 05:48:09.960487197
13005ZF-14000,8.306486846915098,2021-10-11,2021-10-19 07:21:20.463573464
13005ZF-14000,5.639026557579237,2021-04-15,2021-04-20 15:20:11.894574842
13005ZF-14000,5.114644210862574,2021-07-14,2021-07-19 02:45:05.259818528
13005ZF-14000,4.308593593168926,2021-01-15,2021-01-19 07:24:22.486449792
13005ZF-14000,5.5119978458772945,2021-01-19,2021-01-24 12:17:16.613883798
13005ZF-14000,3.381041625721184,2021-07-03,2021-07-06 09:08:41.996462311
13005ZF-14000,5.187994646931346,2021-08-05,2021-08-10 04:30:42.737494864
13005ZF-14000,3.6687067376081166,2021-04-14,2021-04-17 16:02:56.262129339
13005ZF-14000,4.8820534650328895,2021-05-23,2021-05-27 21:10:09.419378842
13005ZF-14000,5.82753314776725,2021-02-09,2021-02-14 19:51:38.863967086
13005ZF-14000,4.721840284516026,2021-07-19,2021-07-23 17:19:27.000582182
13005ZF-14000,7.099380351069093,2021-12-18,2021-12-25 02:23:06.462332370
13005ZF-14000,6.525566282237421,2021-03-20,2021-03-26 12:36:48.926785311
13005ZF-14000,2.8710014003287814,2021-01-07,2021-01-09 20:54:14.520988408
13005ZF-14000,2.5945555246793672,2021-12-23,2021-12-25 14:16:09.597332300
13005ZF-14000,2.9279853559993563,2021-10-13,2021-10-15 22:16:17.934758348
13005ZF-14000,4.748773773911785,2021-01-19,2021-01-23 17:58:14.054065979
13005ZF-14000,3.7904218596761803,2021-08-16,2021-08-19 18:58:12.448676023
13005ZF-14000,5.112965937406861,2021-01-23,2021-01-28 02:42:40.256991956
13005ZF-14000,6.561877838161066,2021-11-16,2021-11-22 13:29:06.245217119
13005ZF-14000,5.643252227034365,2021-05-15,2021-05-20 15:26:16.992415772
13005ZF-14000,5.873529540864471,2021-05-19,2021-05-24 20:57:52.952330692
13005ZF-14000,4.720493533119253,2021-03-14,2021-03-18 17:17:30.641261507
13005ZF-14000,5.291215975015153,2021-01-15,2021-01-20 06:59:21.060241313
13005ZF-14000,6.3484684657088915,2021-02-05,2021-02-11 08:21:47.675437248
13007ZF 903C 14000,3.595061533185233,2021-09-08,2021-09-11 14:16:53.316467201
13007ZF 903C 14000,5.3041080247667765,2021-12-15,2021-12-20 07:17:54.933339851
13007ZF 903C 14000,5.3274096635042145,2021-01-29,2021-02-03 07:51:28.194926762
13007ZF 903C 14000,4.838629268615524,2021-10-22,2021-10-26 20:07:37.568808379
13007ZF 903C 14000,4.648755742673749,2021-12-21,2021-12-25 15:34:12.496167007
13007ZF 903C 14000,4.65253008038234,2021-10-26,2021-10-30 15:39:38.598945030
13007ZF 903C 14000,3.976908537346873,2021-01-01,2021-01-04 23:26:44.897626772
13007ZF 903C 14000,5.127259521169139,2021-12-06,2021-12-11 03:03:15.222629010
13007ZF 903C 14000,4.74247570819907,2021-08-10,2021-08-14 17:49:09.901188402
13007ZF 903C 14000,4.112837797499624,2021-06-19,2021-06-23 02:42:29.185703965
13007ZF 903C 14000,4.3599677092123015,2021-07-01,2021-07-05 08:38:21.210075942
13007ZF 903C 14000,4.244004010216984,2021-10-28,2021-11-01 05:51:21.946482748
13007ZF 903C 14000,4.167339152421324,2021-01-13,2021-01-17 04:00:58.102769200
13007ZF 903C 14000,4.770073126511395,2021-07-01,2021-07-05 18:28:54.318130584
13007ZF 903C 14000,4.642684199053549,2021-01-27,2021-01-31 15:25:27.914798222
13007ZF 903C 14000,5.461254784927871,2021-01-30,2021-02-04 11:04:12.413417770
13007ZF 903C 14000,4.780805457319181,2021-03-05,2021-03-09 18:44:21.591512378
13007ZF 903C 14000,5.008062109617647,2021-11-09,2021-11-14 00:11:36.566270960
13007ZF 903C 14000,4.903043397958582,2021-07-18,2021-07-22 21:40:22.949583623
13007ZF 903C 14000,5.731511650182871,2021-12-10,2021-12-15 17:33:22.606575802
13007ZF 903C 14000,3.767826294879407,2021-11-02,2021-11-05 18:25:40.191877580
13007ZF 903C 14000,4.161246880762837,2021-03-31,2021-04-04 03:52:11.730497905
13007ZF 903C 14000,4.705244275856684,2021-07-31,2021-08-04 16:55:33.105434018
13007ZF 903C 14000,4.621525442438694,2021-10-15,2021-10-19 14:54:59.798226703
13007ZF 903C 14000,4.014597984374733,2021-04-11,2021-04-15 00:21:01.265849974
13007ZF 903C 14000,4.371976453533444,2021-05-28,2021-06-01 08:55:38.765585285
13007ZF 903C 14000,5.795476199603532,2021-05-14,2021-05-19 19:05:29.143645742
13007ZF 903C 14000,4.989367923737003,2021-11-25,2021-11-29 23:44:41.388610876
13007ZF 903C 14000,4.0451688744030925,2021-02-02,2021-02-06 01:05:02.590748427
