codarticolo,kg_ora,no_cicli,ore_levata
10353ZF,1.87,2,96.0
10369ZF/2013,3.15,5,75.6
10369ZF2,3.15,5,75.6
10985ZF,2.05,4,118.0
10985ZF spole 880 gr,1.87,3,139.0
10996SN,1.51,3,95.0
10996ZN,1.51,3,95.0
11006ZF,0.51,4,235.75
11007SF 2 cicli,0.23,2,597.5
11007SF 3 cicli,0.23,3,385.0
11008ZF,0.6,6,206.0
11011ZF2,0.61,6,224.17
1101DN,0.13,2,457.0
1283S+ZN,0.26,2,478.0
1283SN,0.26,2,478.0
1283ZN,0.26,2,478.0
13005ZF-14000,1.6,3,118.0
13005ZF-600gr,1.69,2,96.0
13005ZF 17600,2.09,3,92.3
13006DN,4.19,8,46.0
13007Z,2.09,3,92.3
13007ZF 903C 14000,1.59,3,115.0
13007ZN/F-14500,1.65,3,114.0
1301ZN,1.99,3,114.67
1306S+ZN,1.01,9,107.11
1306SN,1.01,9,107.11
1306ZN,1.01,9,107.11
1307ZF,0.48,7,237.57
15611DN,1.41,4,35.25
15612DN,1.98,3,48.0
1561ZF,1.95,3,91.0
1563ZN,2.02,2,120.0
1566SN,2.48,1,108.0
1566ZN,2.48,1,108.0
1701S+ZN,0.56,3,192.0
1701SN,0.56,3,192.0
1701ZN,0.56,3,192.0
1702ZN2,0.41,2,463.0
1704S+ZN,0.31,3,334.67
1704SN,0.31,3,334.67
1704ZN,0.31,3,334.67
1706S+ZN,0.8,4,108.5
1710SN2,1.08,7,69.71
1724S+ZN,0.25,3,314.0
1724S+ZN 2cicli,0.25,2,470.36
1725DN,1.78,7,117.0
1725DN racc 230,1.78,7,117.0
1726S+ZN,1.52,4,164.37
1728DN,1.93,11,77.09
1729S+ZN,0.15,2,560.0
1730S+ZN,0.27,3,328.0
1730S+ZN mini,0.27,3,328.0
1731DN,0.47,4,209.75
1731DN 5cicli,0.48,5,168.12
1732DN1,0.1,2,647.5
2008DN,1.37,2,120.0
20099ZF,1.86,2,119.0
2011DN,0.25,2,359.0
2011DN mini,0.25,2,359.0
2012S+ZN,0.43,2,235.0
2013S+ZN,0.43,2,235.0
2013S+ZN mini,0.43,2,235.0
2202ZF,0.89,5,141.0
2202ZN,0.89,5,141.0
2202ZN/F 17200,0.81,5,155.0
2204ZF1,0.48,3,190.0
2205S+ZN,0.17,3,398.67
2211ZF,0.93,6,178.5
2218ZN,0.87,4,118.75
2223DN,0.18,3,454.0
2223DN mini,0.18,3,454.0
2226ZN2,1.6,6,73.67
2235ZN,0.38,4,263.75
2236S-ZN1,1.35,9,90.0
2236ZN,1.35,9,90.0
2238ZN,0.65,5,181.6
2242ZF,1.24,7,141.29
2245ZN,1.4,4,163.25
2246S+ZN,2.96,7,76.0
2246SN,2.96,7,76.0
2246ZN 10800,2.38,7,93.0
2246ZN 13500,2.96,7,74.0
2250S+ZN,0.4,2,331.0
2250SN,0.4,2,331.0
2250ZN,0.4,2,331.0
2252DN,1.04,3,159.33
2253SF,1.44,3,164.0
2253ZF,1.44,3,164.0
2253ZF2,1.44,3,164.0
2253ZN,1.44,3,164.0
2254S+ZN,1.72,4,139.0
2254S+ZN-11000,1.49,4,160.0
2254SN,1.72,4,139.0
2254SN-11000,1.49,4,160.0
2254ZN,1.72,4,139.0
2254ZN-11000,1.49,4,160.0
2255ZN2,1.22,12,71.0
2256ZN,1.86,2,141.5
2261S+ZN,2.57,8,86.62
2261ZN,2.57,8,86.62
2261ZN-B10A,2.57,8,86.62
2261ZN2,2.57,8,86.62
2263S+ZN,0.49,4,237.3
2264ZN,3.1,6,67.5
2265S+ZN2,1.33,8,119.0
2265SN2,1.33,8,119.0
2265ZN2,1.33,8,119.0
2266S+ZN,0.52,6,167.67
2267S+ZN,0.36,2,260.0
2268S+ZN,0.04,3,382.93
2269ZF2,0.8,4,176.5
2269ZN/F2,0.8,4,176.5
2269ZN2,0.8,4,176.5
2270,1.95,3,91.0
2270S+ZN,0.34,2,380.0
2270S+ZN 19800,0.34,2,403.0
2270S+ZN mini,0.34,2,380.0
2270S+ZN mini 19800,0.34,2,403.0
2270SN,0.34,2,380.0
2270SN mini,0.34,2,380.0
2270ZN,0.34,2,380.0
2270ZN,0.34,2,380.0
2270ZN mini,0.34,2,380.0
2271DN 20000 mini,0.26,2,621.1
2271DN 20700,0.15,2,600.0
2271DN 20700 mini,0.15,2,600.0
2271DN 22000,0.16,2,564.5
2271DN 22000 mini,0.16,2,564.5
2272ZN,0.61,5,189.0
2273S+Z,0.58,3,212.77
2274ZN,2.96,8,68.0
2274ZN2,2.96,8,68.0
2274ZN2015,2.96,8,68.0
2275S+Z-N00 11400,1.6,5,142.0
2275S+ZN,1.93,5,118.0
2275S+ZN-B10A,1.93,5,118.0
2275S+ZN-B10A 11400,1.6,5,142.0
2275S+ZN-N00,1.93,5,118.0
2276S+ZN,1.62,5,138.4
2277DN,0.19,2,427.5
