cliente,cod_articolo,quantity,data inserimento,data consegna
INTERNAL,2011DN mini,2984.18,2024-11-19,2025-11-19
SCORTA,31002DN1,336.0,2024-11-19,2025-11-19
SCORTA,2277DN mini,426.43,2024-11-19,2025-11-19
INTERNAL,2271DN 20700 mini,1842.5,2024-11-19,2025-11-19
INTERNAL,2271DN 20000 mini,1717.39,2024-11-19,2025-11-19
DUELEGS,X23-3399S+ZF,1553.16,2024-11-19,2025-11-19
INTERNAL,2270S+ZN 19800,2000.0,2024-11-19,2025-11-19
SCORTA,7034ZN,666.46,2024-11-19,2025-11-19
INTERNAL,X23-13097V8ZF,716.8,2024-11-19,2025-11-19
SANYLEG,X23-4491DF366,424.8,2024-11-19,2025-12-01
FGP,31003DN220274 dm84,231.36,2024-11-19,2025-11-19
DUELEGS,X23-4493S+ZF,1732.9,2024-11-19,2025-11-19
INTERNAL,2270S+ZN mini 19800,1851.84,2024-11-19,2025-11-19
SANYLEG,X23-47097DN366,841.33,2024-11-19,2025-12-01
INTERNAL,X23-4489DN,584.64,2024-11-19,2025-11-19
SANYLEG,33001DN2,1046.25,2024-11-19,2025-11-19
INTERNAL,13007ZF 903C 14000,2000.0,2024-11-19,2025-11-19
RADICI,2276S+ZN,1618.5,2024-11-19,2025-11-19
INTERNAL,X24-1301V2S+ZN mini,323.97,2024-11-19,2025-11-19
SCORTA,4407DN,412.23,2024-11-19,2025-11-19
INTERNAL,1724S+ZN 2cicli,363.79,2024-11-19,2025-11-19
